Product ID,Name,Category,Price (Dh),Old Price (Dh),Discount_old_price (%),Discount (%),Marque,Rating
1531,Nouveau mini Clavier et Souris Sans Fil Bluetooth USB Pour Ordinateur/Smart TV/Android/IOS,TV & Hi,154400,40000,N/A,69,"TV, Vidéo & Home CinémaAccessoires Hi-TechAudio & HifiAppareils photoCaméras & VidéoÉquipements Pro",3.6
1687,Nouveau mini Clavier et Souris Sans Fil Bluetooth USB,TV & Hi,104900,18000,N/A,30,"Samsung 32"" Smart Tv HD - Récepteur Intégré - TNT - HDMI - 32T53001,544.00 Dhs38%Visio 32"" TV HD LED - Récepteur intégré + TNT - Garantie - Noir1,049.00 Dhs46%BUY SAT TV 43"" Smart Android Original  11 - FULL HD2,130.00 Dhs35%BUY SAT 32'' SMART TV - ANDROID 13 - Récepteur Intégré & TNT1,166.00 Dhs15%Echolink ENOVA BOX 4K UHD 2GB Ram, 16GB Stockage Compatible NETFLIX 4K Dual WiFi 2.4G/5G600.00 Dhs40%X96 Q Smart TV Box Android 10.0 - 2 Go de RAM + 16 Go de ROM280.00 Dhs53%X96 X96Q PRO Smart TV BOX Dual Wifi 2Go+16Go Allwinnerr H616 6K290.00 Dhs27%X96 X96Q PRO Smart TV BOX Dual Wifi 4Go+32Go Allwinner H616 6K ANDROID 11379.00 Dhs24%Visio TV 43"" VISIO Smart Android Original - FHD - Télé Vocale - Bluetooth + Support2,499.00 Dhs37%X96 PRO H616 4K@6K 2023 Android 11 TV BOX 2GB RAM 16GB ROM 5G WIFI AV RJ45299.00 Dhs70%Itel Téléviseur G4360 43"" SMART FHD + récepteur intégré - Noir2,169.00 Dhs28%X96 Q Android TV Box mini 4K 2/16GB RAM/ ROM android 10280.00 Dhs44%Autre G10 Voice Remote Control 2.4G Wireless Air Mouse Microphone Gyroscope IR Learning for Android tv box  PRO H96Max X96 mini53.55 Dhs46%X96 PRO Smart TV BOX Dual Wifi 4Go+64Go Allwinner SMART 6K ANDROID 11399.00 Dhs20%Visio 40'' Smart TV  Android + Récepteur Intégré + Support Mural - Noir2,395.00 Dhs43%",5.0
3179,UNIVERSAL 1080P Mini HDMI to RCA Audio Video AV CVBS HD TV VCR VHS DVD Adapter Converter,TV & Hi,213000,17000,N/A,48,"Visio 32"" TV HD LED - Récepteur intégré + TNT - Garantie - Noir1,049.00 Dhs46%Itel Smart TV 43"" Android™ 11 Pie, FHD - Bluetooth - TNT - HDR PQ Technology2,399.00 Dhs35%BUY SAT 32'' SMART TV - ANDROID 13 - Récepteur Intégré & TNT1,166.00 Dhs15%Roch LE32 - Smart TV -32 pouce Android 13 Frameless avec support GRATUIT (12 mois garantie)1,199.00 Dhs20%BUY SAT TV 43"" Smart Android Original  11 - FULL HD2,130.00 Dhs35%Echolink ENOVA BOX 4K UHD 2GB Ram, 16GB Stockage Compatible NETFLIX 4K Dual WiFi 2.4G/5G600.00 Dhs40%BUY SAT 55"" Smart LED TV - 4K Android 11 - 55E70003,720.00 Dhs28%BUY SAT 32'' LED avec récepteur intégré et TNT954.00 Dhs7%TCL Smart TV 32"" Android™ officielle FHD - Google Assistant™ - Bluetooth™ + Support1,499.00 Dhs25%Itel Téléviseur G4360 43"" SMART FHD + récepteur intégré - Noir2,169.00 Dhs28%XIAOMI TV A Pro 32"" Smart - Google TV™ - Bluetooth - Dolby Audio™ DTS-X + Support Mural1,519.00 Dhs20%Itel 32"" Smart TV - Android™ HD - Récepteur Intégré - HDR + Support Cadue1,282.00 Dhs50%Mini caméra de Surveillance IP Wifi USB Full HD 1080P,229.00 Dhs73%Telefunken 32"" - Smart TV - XH32WD180G - Noir1,165.00 Dhs22%RGB Microphone à condensateur USB+couteau multifonction329.00 Dhs59%",3.8
1253,Cable d'alimentation secteur 220V pour PC imprimante longeur 1.8M,TV & Hi,116600,4500,N/A,37,"BUY SAT TV 43"" Smart Android Original  11 - FULL HD2,130.00 Dhs35%Samsung 32"" Smart Tv HD - Récepteur Intégré - TNT - HDMI - 32T53001,544.00 Dhs38%Itel Smart TV 43"" Android™ 11 Pie, FHD - Bluetooth - TNT - HDR PQ Technology2,399.00 Dhs35%Visio TV 43"" VISIO Smart Android Original - FHD - Télé Vocale - Bluetooth + Support2,499.00 Dhs37%Samsung 43"" Smart TV 4K Crystal UHD - Série 7  Récepteur Intégré - Noir3,899.00 Dhs35%Samsung 43"" Smart Tv Full HD - Récepteur Intégré - TNT - HDMI - 43T53003,067.00 Dhs19%Samsung 40"" - Smart TV - LED 40T5300 Full HD  - Récepteur intégré3,390.00 DhsSamsung 55"" Smart TV4K Crystal UHD Série 7- Bluetooth - Récepteur Intégré5,103.00 Dhs27%Itel 32"" Smart TV - Android™ HD - Récepteur Intégré - HDR + Support Cadue1,282.00 Dhs50%Visio 40'' Smart TV  Android + Récepteur Intégré + Support Mural - Noir2,395.00 Dhs43%NB-35 Adjustable Table Mount Recording Microphone Suspension69.00 Dhs67%Samsung 75"" Smart TV - 4K UHD - QLED - 75Q60 - Noir39,990.00 DhsSamsung 43"" Smart TV - 4K Crystal UHD - 43AU9075 Série 9 - Bluetooth - Récepteur Intégré4,402.00 Dhs36%Samsung 70"" Smart TV - LED - UHD 4K - 70RU7100 - Noir12,990.00 DhsPack Microphone de Studio avec carte son V8 et son Support Flexible367.00 Dhs32%",4.4
2775,Sony Câble HDMI 3m  - Neuf,TV & Hi,60000,7100,N/A,17,N/A,4.2
1577,Cable HDMI 1.5M 3D Haute Defenition Noir,TV & Hi,28000,4900,N/A,42,Seulement Boutiques Officielles.,4.1
3764,Nia Casque Wireless Bluetooth Android - Apple Avec Lecteur Micro SD - FM Radio,TV & Hi,29000,29900,3,70,N/A,3.8
2178,"C120 Mouse Wireless  Android Remote Controller for PC Smart TV, Game Devices",TV & Hi,37900,9900,N/A,44,AiiilApcBoyaEasy CapGeneralGenericHocoHyundaiibogaJedelJERTECHKinKingstonKisonliLed ProjectorMamenNiaOtherPlantronicsSmart ProSonySVCThe Unbranded BrandTop ModelTP-LinkWicom UniversX96,5.0
3067,"Microphone à condensateur USB professionnel, enregistrement, Studio, pour PC, ordinateur portable",TV & Hi,249900,94900,N/A,76,Articles en promotion seulement,5.0
1109,Wicom Univers Originale Microphone Cravate 3.5mm Jack Mains-libre Mini Filaire Microphone À Condensateur pour iphone Samsung Smartphone  PC Clip-sur Revers,TV & Hi,29900,19900,N/A,73,Black NightBlue SkyOrange,4.5
